Old URL,Redirect To,Category,Priority,Notes
/what-does-a-professional-ac-service-include-a-complete-checklist/,/blog/hvac/what-does-a-professional-ac-service-include-a-complete-checklist,Blog Post,High,Map to blog if exists; else /services/hvac
/spotlight-on-solar-air-conditioner/,/services/solar-ac,Blog Post,Medium,Redirect to solar AC service page
/electrical-greenvalley,/services/electrical-green-valley,Service-Location,High,Old flat URL to new nested structure
/what-is-an-anode-rod/,/blog/plumbing/what-is-an-anode-rod,Blog Post,Medium,Plumbing blog content
/when-is-repiping-necessary-what-you-need-to-know/,/blog/plumbing/when-is-repiping-necessary,Blog Post,Medium,Repiping blog content
/complete-guide-to-hvac-ac-repair-in-tucson-faqs-answered/,/blog/hvac/complete-guide-hvac-ac-repair-tucson-faqs,Blog Post,High,HVAC guide - high value
/8-reasons-why-you-should-use-solar-power/,/blog/solar/8-reasons-why-you-should-use-solar-power,Blog Post,Medium,Solar blog content
/how-solar-power-systems-can-save-you-money-in-tucson-az/,/blog/solar/how-solar-power-systems-can-save-you-money,Blog Post,Medium,Solar blog content
/why-you-should-consider-repiping-your-home/,/blog/plumbing/why-you-should-consider-repiping-your-home,Blog Post,Medium,Repiping blog content
/plumbing-avravalley,/services/plumbing-avra-valley,Service-Location,High,Old flat URL to new nested structure
/electrical-picturerocks,/services/electrical-picture-rocks,Service-Location,High,Old flat URL to new nested structure
/drainsewer-sahuarita,/services/drain-sewer-sahuarita,Service-Location,High,Old flat URL to new nested structure
/why-you-should-invest-in-water-leak-detection-services/,/services/leak-detection,Blog Post,Medium,Redirect to service page
/hvac-redrockcasagrande,/services/hvac-red-rock-casa-grande,Service-Location,High,Old flat URL to new nested structure
/solarinstallation-rillito,/services/solar-installation-rillito,Service-Location,High,Old flat URL to new nested structure
/choosing-the-right-roofing-company-a-comprehensive-guide/,/blog/roofing/choosing-the-right-roofing-company,Blog Post,Medium,Roofing blog content
/roofing-tanqueverde,/services/roofing-tanque-verde,Service-Location,High,Old flat URL to new nested structure
/8-important-questions-to-ask-solar-panel-installers-before-hiring-them/,/blog/solar/questions-to-ask-solar-panel-installers,Blog Post,Medium,Solar blog content
/why-hire-professionals-to-clean-air-conditioner/,/blog/hvac/why-hire-professionals-to-clean-ac,Blog Post,Medium,AC maintenance blog
/drainsewer-cortaro,/services/drain-sewer-cortaro,Service-Location,High,Old flat URL to new nested structure
/how-long-do-ac-units-last/,/blog/hvac/how-long-should-an-ac-last-in-arizona,Blog Post,High,Popular topic - redirect to similar blog
/tucson-waters-epa-warning/,/blog/plumbing/tucson-waters-epa-warning,Blog Post,Low,News-related - may be outdated
/how-does-ac-work/,/blog/hvac/how-does-ac-work,Blog Post,High,Educational content
/drainsewer-coronadetucson,/services/drain-sewer-corona-de-tucson,Service-Location,High,Old flat URL to new nested structure
/hvac-picturerocks,/services/hvac-picture-rocks,Service-Location,High,Old flat URL to new nested structure
/roofing-casasadobes,/services/roofing-casas-adobes,Service-Location,High,Old flat URL to new nested structure
/drainsewer-avravalley,/services/drain-sewer-avra-valley,Service-Location,High,Old flat URL to new nested structure
/mo,SKIP,Junk,Skip,Fragment or broken link - no value
/can-you-lower-your-ac-costs-with-suntrac-air-conditioning-systems/,/blog/hvac/can-suntrac-air-conditioning-systems-lower-your-ac-costs,Blog Post,Medium,SunTrac content
/how-often-should-i-schedule-air-conditioning-service/,/blog/hvac/how-often-should-i-schedule-air-conditioning-service,Blog Post,Medium,AC maintenance blog
/drainsewer-gladdenfarms,/services/drain-sewer-gladden-farms,Service-Location,High,Old flat URL to new nested structure
/blog/how-does-ac-work/,/blog/hvac/how-does-ac-work,Blog Post,High,Blog path update
/roofing-ritaranch,/services/roofing-rita-ranch,Service-Location,High,Old flat URL to new nested structure
/electrical-ritaranch,/services/electrical-rita-ranch,Service-Location,High,Old flat URL to new nested structure
/how-solar-panel-installers-can-benefit-homeowners/,/blog/solar/how-solar-panel-installers-can-benefit-homeowners,Blog Post,Medium,Solar blog content
/what-temperature-should-i-set-my-thermostat/,/blog/hvac/what-temperature-should-i-set-my-thermostat,Blog Post,Medium,Thermostat blog
/the-benefits-of-hiring-the-1-rated-best-solar-panel-installers-in-tucson/,/blog/solar/benefits-of-hiring-best-solar-panel-installers,Blog Post,Medium,Solar blog content
/the-importance-of-super-cooling-for-hvac-efficiency-in-the-summer/,/blog/hvac/importance-of-super-cooling-hvac-efficiency,Blog Post,Medium,HVAC efficiency blog
/the-best-types-of-air-conditioners-for-tucson-arizona/,/blog/hvac/best-types-of-air-conditioners-for-tucson,Blog Post,High,Local relevance - high value
/cost-of-ac-installation-in-tucson/,/free-hvac-quote,Blog Post,High,Redirect to quote page for conversions
/does-turning-off-your-a-c-when-youre-not-home-actually-save-money/,/blog/hvac/does-turning-off-ac-save-money,Blog Post,Medium,Energy savings blog
/how-long-should-ac-last-in-arizona/,/blog/hvac/how-long-should-an-ac-last-in-arizona,Blog Post,High,Popular topic
/maximizing-solar-efficiency-steps-to-harness-the-suns-power/,/blog/solar/maximizing-solar-efficiency,Blog Post,Medium,Solar efficiency blog
/everything-you-need-to-know-about-advanced-hvac-solutions/,/blog/hvac/everything-you-need-to-know-about-the-advanced-hvac-solution,Blog Post,Medium,HVAC solutions blog
/air-conditioning-tucson-tips-to-lower-energy-bills-and-save-money/,/blog/hvac/air-conditioning-tucson-tips-to-lower-energy-bills-and-save-,Blog Post,High,Energy savings - high value
/what-should-i-expect-when-i-ask-for-an-hvac-estimate/,/free-hvac-quote,Blog Post,High,Redirect to quote page for conversions
